workerid,proliferate.condition,block_id,condition,item_id,original_choice,response,rt,trial_num,verb,error
308,condition1,practice,practice_1,301,lai,correct,,0,NA,
308,condition1,practice,practice_2,302,pohuai,ambiguous,,0,NA,
308,condition1,practice,practice_3,303,ba,ambiguous,,0,NA,
308,condition1,practice,practice_4,304,qu,correct,,0,NA,
308,condition1,0,juede_unclear,112,觉得,juede,14726,1,juede,
308,condition1,0,yiwei_contrastive,3,以为,yiwei,13600,2,yiwei,
308,condition1,0,juede_contrastive,18,以为,yiwei,9735,3,juede,
308,condition1,0,filler,908,拆桥,correct,5048,4,filler,
308,condition1,0,yiwei_unclear,110,以为,yiwei,19855,5,yiwei,
308,condition1,0,yiwei_unclear,103,以为,yiwei,12593,6,yiwei,
308,condition1,0,juede_unclear,115,觉得,juede,10104,7,juede,
308,condition1,0,yiwei_contrastive,9,以为,yiwei,15240,8,yiwei,
308,condition1,0,filler,902,以前,correct,6415,9,filler,
308,condition1,0,juede_contrastive,13,以为,yiwei,12008,10,juede,
308,condition1,1,filler,901,以前,correct,3695,11,filler,
308,condition1,1,juede_unclear,111,觉得,juede,3545,12,juede,
308,condition1,1,yiwei_contrastive,10,以为,yiwei,9088,13,yiwei,
308,condition1,1,yiwei_unclear,109,以为,yiwei,12728,14,yiwei,
308,condition1,1,filler,904,以后,correct,4832,15,filler,
308,condition1,1,juede_unclear,119,觉得,juede,5368,16,juede,
308,condition1,1,juede_contrastive,16,觉得,juede,4872,17,juede,
308,condition1,1,yiwei_contrastive,2,以为,yiwei,7353,18,yiwei,
308,condition1,1,yiwei_unclear,105,以为,yiwei,110535,19,yiwei,
308,condition1,1,juede_contrastive,12,觉得,juede,5727,20,juede,
308,condition1,2,juede_unclear,118,觉得,juede,8096,21,juede,
308,condition1,2,juede_unclear,117,觉得,juede,13545,22,juede,
308,condition1,2,filler,907,谈兵,correct,3167,23,filler,
308,condition1,2,juede_contrastive,20,觉得,juede,16905,24,juede,
308,condition1,2,yiwei_contrastive,1,以为,yiwei,12872,25,yiwei,
308,condition1,2,juede_contrastive,19,觉得,juede,4344,26,juede,
308,condition1,2,yiwei_unclear,104,以为,yiwei,5383,27,yiwei,
308,condition1,2,yiwei_contrastive,8,以为,yiwei,6105,28,yiwei,
308,condition1,2,filler,903,以后,correct,4663,29,filler,
308,condition1,2,yiwei_unclear,107,以为,yiwei,7872,30,yiwei,
308,condition1,3,yiwei_unclear,102,以为,yiwei,5440,31,yiwei,
308,condition1,3,yiwei_contrastive,7,以为,yiwei,22233,32,yiwei,
308,condition1,3,yiwei_contrastive,5,以为,yiwei,17768,33,yiwei,
308,condition1,3,yiwei_unclear,101,以为,yiwei,14503,34,yiwei,
308,condition1,3,juede_contrastive,15,以为,yiwei,18993,35,juede,
308,condition1,3,juede_unclear,120,觉得,juede,7184,36,juede,
308,condition1,3,juede_unclear,116,觉得,juede,4128,37,juede,
308,condition1,3,filler,905,桃源,correct,3023,38,filler,
308,condition1,3,filler,910,作气,correct,2176,39,filler,
308,condition1,3,juede_contrastive,11,觉得,juede,3776,40,juede,
308,condition1,4,juede_contrastive,14,觉得,juede,11991,41,juede,
308,condition1,4,juede_unclear,113,觉得,juede,3993,42,juede,
308,condition1,4,filler,906,点睛,correct,2511,43,filler,
308,condition1,4,yiwei_contrastive,6,以为,yiwei,15168,44,yiwei,
308,condition1,4,yiwei_contrastive,4,以为,yiwei,12752,45,yiwei,
308,condition1,4,filler,909,画蛇,correct,2071,46,filler,
308,condition1,4,juede_unclear,114,觉得,juede,9569,47,juede,
308,condition1,4,juede_contrastive,17,觉得,juede,10304,48,juede,
308,condition1,4,yiwei_unclear,108,觉得,juede,13447,49,yiwei,
308,condition1,4,yiwei_unclear,106,以为,yiwei,18964,50,yiwei,
319,condition1,practice,practice_1,301,lai,correct,,0,NA,
319,condition1,practice,practice_2,302,sunhuai,ambiguous,,0,NA,
319,condition1,practice,practice_3,303,ba,ambiguous,,0,NA,
319,condition1,practice,practice_4,304,qu,correct,,0,NA,
319,condition1,0,juede_contrastive,11,觉得,juede,45050,1,juede,
319,condition1,0,yiwei_contrastive,8,以为,yiwei,60847,2,yiwei,
319,condition1,0,juede_contrastive,19,觉得,juede,21007,3,juede,
319,condition1,0,yiwei_contrastive,5,以为,yiwei,14232,4,yiwei,
319,condition1,0,juede_unclear,115,觉得,juede,37283,5,juede,
319,condition1,0,filler,909,画蛇,correct,16735,6,filler,
319,condition1,0,yiwei_unclear,108,以为,yiwei,37087,7,yiwei,
319,condition1,0,juede_unclear,118,觉得,juede,62736,8,juede,
319,condition1,0,filler,905,桃源,correct,16532,9,filler,
319,condition1,0,yiwei_unclear,103,以为,yiwei,32901,10,yiwei,
319,condition1,1,filler,907,谈兵,correct,15355,11,filler,
319,condition1,1,yiwei_unclear,106,以为,yiwei,44985,12,yiwei,
319,condition1,1,filler,901,以前,correct,27554,13,filler,
319,condition1,1,juede_unclear,112,觉得,juede,32479,14,juede,
319,condition1,1,juede_unclear,113,觉得,juede,23684,15,juede,
319,condition1,1,yiwei_contrastive,7,以为,yiwei,46401,16,yiwei,
319,condition1,1,yiwei_unclear,101,以为,yiwei,19007,17,yiwei,
319,condition1,1,juede_contrastive,17,觉得,juede,25207,18,juede,
319,condition1,1,juede_contrastive,15,觉得,juede,47564,19,juede,
319,condition1,1,yiwei_contrastive,10,以为,yiwei,22267,20,yiwei,
319,condition1,2,yiwei_contrastive,9,以为,yiwei,37582,21,yiwei,
319,condition1,2,juede_contrastive,16,觉得,juede,21895,22,juede,
319,condition1,2,juede_unclear,116,以为,yiwei,50422,23,juede,
319,condition1,2,yiwei_unclear,104,觉得,juede,33660,24,yiwei,
319,condition1,2,filler,908,拆桥,correct,47458,25,filler,
319,condition1,2,juede_unclear,114,觉得,juede,26699,26,juede,
319,condition1,2,yiwei_contrastive,2,以为,yiwei,39778,27,yiwei,
319,condition1,2,juede_contrastive,18,觉得,juede,26070,28,juede,
319,condition1,2,yiwei_unclear,102,以为,yiwei,49026,29,yiwei,
319,condition1,2,filler,902,以前,correct,14466,30,filler,
319,condition1,3,juede_contrastive,12,觉得,juede,26039,31,juede,
319,condition1,3,yiwei_unclear,109,以为,yiwei,31892,32,yiwei,
319,condition1,3,filler,903,以后,correct,34309,33,filler,
319,condition1,3,yiwei_contrastive,1,以为,yiwei,38511,34,yiwei,
319,condition1,3,juede_contrastive,20,觉得,juede,38961,35,juede,
