workerid,proliferate.condition,block_id,condition,item_id,original_choice,response,rt,trial_num,verb,error
354,condition1,practice,practice_1,301,bei,correct,,0,NA,
354,condition1,practice,practice_2,302,lai,ambiguous,,0,NA,
354,condition1,practice,practice_3,303,qu,ambiguous,,0,NA,
354,condition1,practice,practice_4,304,ba,correct,,0,NA,
354,condition1,0,yiwei_contrastive,6,觉得,juede,10162,1,yiwei,
354,condition1,0,juede_unclear,120,觉得,juede,9461,2,juede,
354,condition1,0,yiwei_contrastive,7,觉得,juede,3529,3,yiwei,
354,condition1,0,yiwei_unclear,108,觉得,juede,3630,4,yiwei,
354,condition1,0,juede_contrastive,13,以为,yiwei,4457,5,juede,
354,condition1,0,juede_unclear,118,觉得,juede,3076,6,juede,
354,condition1,0,yiwei_unclear,103,以为,yiwei,5954,7,yiwei,
354,condition1,0,filler,909,画蛇,correct,4648,8,filler,
354,condition1,0,juede_contrastive,17,以为,yiwei,3898,9,juede,
354,condition1,0,filler,910,作气,correct,2901,10,filler,
354,condition1,1,yiwei_unclear,105,以为,yiwei,3361,11,yiwei,
354,condition1,1,yiwei_unclear,104,以为,yiwei,5854,12,yiwei,
354,condition1,1,juede_unclear,117,以为,yiwei,3789,13,juede,
354,condition1,1,juede_contrastive,12,觉得,juede,2682,14,juede,
354,condition1,1,yiwei_contrastive,8,以为,yiwei,2840,15,yiwei,
354,condition1,1,yiwei_contrastive,4,以为,yiwei,2283,16,yiwei,
354,condition1,1,juede_contrastive,20,觉得,juede,8310,17,juede,
354,condition1,1,juede_unclear,119,以为,yiwei,7773,18,juede,
354,condition1,1,filler,904,以后,correct,5092,19,filler,
354,condition1,1,filler,907,谈兵,correct,2551,20,filler,
354,condition1,2,yiwei_contrastive,1,以为,yiwei,3604,21,yiwei,
354,condition1,2,yiwei_unclear,110,以为,yiwei,10661,22,yiwei,
354,condition1,2,juede_contrastive,14,以为,yiwei,2138,23,juede,
354,condition1,2,filler,903,以后,correct,2356,24,filler,
354,condition1,2,yiwei_unclear,106,以为,yiwei,6899,25,yiwei,
354,condition1,2,juede_unclear,113,觉得,juede,2236,26,juede,
354,condition1,2,yiwei_contrastive,5,以为,yiwei,3643,27,yiwei,
354,condition1,2,juede_contrastive,18,觉得,juede,10494,28,juede,
354,condition1,2,juede_unclear,111,觉得,juede,4221,29,juede,
354,condition1,2,filler,901,以前,correct,5638,30,filler,
354,condition1,3,filler,906,点睛,correct,4421,31,filler,
354,condition1,3,yiwei_contrastive,3,以为,yiwei,10988,32,yiwei,
354,condition1,3,filler,902,以前,correct,3975,33,filler,
354,condition1,3,yiwei_unclear,102,觉得,juede,3524,34,yiwei,
354,condition1,3,juede_unclear,115,觉得,juede,5069,35,juede,
354,condition1,3,juede_contrastive,19,觉得,juede,8391,36,juede,
354,condition1,3,yiwei_unclear,101,以为,yiwei,3189,37,yiwei,
354,condition1,3,yiwei_contrastive,10,以为,yiwei,3085,38,yiwei,
354,condition1,3,juede_contrastive,16,觉得,juede,5182,39,juede,
354,condition1,3,juede_unclear,112,觉得,juede,3369,40,juede,
354,condition1,4,juede_contrastive,15,觉得,juede,8445,41,juede,
354,condition1,4,yiwei_contrastive,9,觉得,juede,2354,42,yiwei,
354,condition1,4,yiwei_unclear,109,以为,yiwei,2356,43,yiwei,
354,condition1,4,filler,908,拆桥,correct,4983,44,filler,
354,condition1,4,juede_unclear,116,觉得,juede,2428,45,juede,
354,condition1,4,yiwei_contrastive,2,以为,yiwei,3652,46,yiwei,
354,condition1,4,filler,905,桃源,correct,2615,47,filler,
354,condition1,4,yiwei_unclear,107,以为,yiwei,4733,48,yiwei,
354,condition1,4,juede_contrastive,11,觉得,juede,2684,49,juede,
354,condition1,4,juede_unclear,114,觉得,juede,8707,50,juede,
324,condition1,practice,practice_1,301,bei,correct,,0,NA,
324,condition1,practice,practice_2,302,lai,ambiguous,,0,NA,
324,condition1,practice,practice_3,303,lai,ambiguous,,0,NA,
324,condition1,practice,practice_4,304,ba,correct,,0,NA,
324,condition1,0,yiwei_contrastive,7,觉得,juede,3728,1,yiwei,
324,condition1,0,juede_unclear,119,觉得,juede,4810,2,juede,
324,condition1,0,filler,906,点睛,correct,3398,3,filler,
324,condition1,0,juede_contrastive,19,觉得,juede,4058,4,juede,
324,condition1,0,yiwei_unclear,106,觉得,juede,5235,5,yiwei,
324,condition1,0,filler,909,画蛇,correct,4250,6,filler,
324,condition1,0,yiwei_contrastive,2,以为,yiwei,3327,7,yiwei,
324,condition1,0,juede_contrastive,18,觉得,juede,3069,8,juede,
324,condition1,0,juede_unclear,120,以为,yiwei,3699,9,juede,
324,condition1,0,yiwei_unclear,102,觉得,juede,3327,10,yiwei,
324,condition1,1,yiwei_contrastive,9,以为,yiwei,2907,11,yiwei,
324,condition1,1,yiwei_contrastive,4,以为,yiwei,3635,12,yiwei,
324,condition1,1,yiwei_unclear,110,以为,yiwei,4480,13,yiwei,
324,condition1,1,juede_unclear,118,觉得,juede,3933,14,juede,
324,condition1,1,filler,907,谈兵,correct,2936,15,filler,
324,condition1,1,juede_contrastive,13,以为,yiwei,4281,16,juede,
324,condition1,1,juede_contrastive,12,觉得,juede,2913,17,juede,
324,condition1,1,filler,904,以后,correct,5477,18,filler,
324,condition1,1,yiwei_unclear,104,以为,yiwei,5161,19,yiwei,
324,condition1,1,juede_unclear,113,觉得,juede,2937,20,juede,
324,condition1,2,juede_unclear,114,觉得,juede,4244,21,juede,
324,condition1,2,juede_contrastive,15,以为,yiwei,6360,22,juede,
324,condition1,2,yiwei_unclear,107,以为,yiwei,3258,23,yiwei,
324,condition1,2,yiwei_contrastive,5,以为,yiwei,3230,24,yiwei,
324,condition1,2,juede_unclear,115,以为,yiwei,2452,25,juede,
324,condition1,2,yiwei_contrastive,1,觉得,juede,2682,26,yiwei,
324,condition1,2,filler,905,桃源,correct,2803,27,filler,
324,condition1,2,juede_contrastive,20,以为,yiwei,4463,28,juede,
324,condition1,2,yiwei_unclear,108,以为,yiwei,3622,29,yiwei,
324,condition1,2,filler,902,以前,correct,3375,30,filler,
324,condition1,3,yiwei_contrastive,8,以为,yiwei,3349,31,yiwei,
324,condition1,3,juede_unclear,117,以为,yiwei,3074,32,juede,
324,condition1,3,yiwei_unclear,101,觉得,juede,6718,33,yiwei,
324,condition1,3,filler,903,以后,correct,5190,34,filler,
324,condition1,3,yiwei_unclear,109,以为,yiwei,4230,35,yiwei,
